id,file_id,unique_file_id,artists_id,uploaded_by,chat_id,message_id,likes_count,dislikes_count,reactions_count
4729,5983412166617732563,-9132556712255273216,"2096,2097,2098",245032061699,-1004482228130,8644,6,0,6
4742,6041732758730994429,-8618753538777649278,,277883390501,-1004482228130,8659,4,0,4
4728,5983412166617732561,8021069058065388078,,511288657229,-1004482228130,8643,3,0,3
4733,6006050840450696995,4436888671421774035,"1154,2100",114447454905,-1004482228130,8649,4,0,4
4732,5983412166617732614,-3967127278592471164,841,"567839591024,769573635661",-1004482228130,8648,27,0,27
4736,5422570775850796808,-4685096527643446468,217,929819142165,-1004482228130,8652,4,0,4
4734,5958820309162263643,-7161382696086335899,263,669489524419,-1004482228130,8650,3,0,3
4737,6006050840450696986,-1433791583480202386,215,114447454905,-1004482228130,8653,5,0,5
4738,6005809703806830483,9002309515599331825,1269,886093680890,-1004482228130,8654,3,3,6
4740,5983412166617732687,-5480282839117767631,234,852351726930,-1004482228130,8657,4,1,5
10219,5314609965342681017,4723637064026953985,282,541209805489,-1004482228130,16724,5,0,5
4748,5949570538744579778,-5032728002177234805,1415,438071472030,-1004482228130,8666,0,0,0
11005,5285071327764415097,4695612179937325395,3966,315631053874,-1004482228130,17956,3,0,3
4513,6010447211924562263,-4709504046100891428,"571,68","929819142165,123317730197",-1004482228130,8378,9,0,9
4764,5963940060502951705,1222520956932368945,2108,849733476327,-1004482228130,8687,5,0,5
4768,6023679795710137892,4578222280688371404,2111,958249908971,-1004482228130,8691,0,0,0
4757,5866255345797568373,-6533213658977233327,"913,215","929819142165,929819142165",-1004482228130,8677,1,0,1
4771,5983412166617732874,1254605986315956026,2112,"812649641749,812649641749",-1004482228130,8697,5,0,5
4755,5983412166617732784,-7428441891455930017,"631,2106",618355761471,-1004482228130,8675,2,0,2
4744,5983412166617732712,467036752419189974,"1243,2102",165501917790,-1004482228130,8661,2,0,2
4746,5902144182717257174,1441524920871244960,2103,426362434662,-1004482228130,8664,1,0,1
4758,5449801731795848244,-2954461602493154518,651,"261672904480,961890638160",-1004482228130,8678,8,0,8
4767,5950454674942330540,-6960863949810474999,2110,849733476327,-1004482228130,8690,1,0,1
4750,5983412166617732732,-3045885528838826217,1283,245032061699,-1004482228130,8669,2,0,2
4762,5983412166617732844,-6166911909298466839,267,"448540462163,951313012753,312759452298",-1004482228130,8685,20,0,20
4751,5969951910910757519,7649386122564904002,1342,"426362434662,426362434662",-1004482228130,8670,3,0,3
4769,6012699011738254908,-5164492444698811434,"149,1",438071472030,-1004482228130,8693,6,0,6
4756,5983412166617732785,-4194344472120962439,631,"706986751636,616554609597",-1004482228130,8676,2,0,2
7859,5866482330524195918,4690436881842109347,"3032,117",165501917790,-1004482228130,13114,7,0,23
4759,5267429199840303544,2335107490601622195,1541,"123317730197,923485882084",-1004482228130,8680,1,0,1
4761,5983412166617732833,5877505572316365460,"181,2107",323273455984,-1004482228130,8683,5,0,5
4765,5983412166617732856,-2368328903324516827,"1938,2109",980857559390,-1004482228130,8688,3,0,3
